brandname,details,sizes,mrp,sellprice,discount,category
Varanga,mandarin collar womens kurta - off white,"Size:Large,Medium,Small,XX-Large",1999.0,899,55% ,Indianwear-Women
Haute Curry,yarn dyed ankle length casual wear gather dress - black,"Size:Large,Medium,Small,X-Small,XX-Large",1299.0,649,50% ,Indianwear-Women
Juniper,cambric boat neck womens straight kurta and palazzo set - lime green,"Size:Large,Medium,Small,X-Large,XX-Large",3198.0,1439,55% ,Indianwear-Women
W,print round neck cotton flex womens kurta - orange,"Size:10,14,16",1899.0,949,50% ,Indianwear-Women
Juniper,printed rayon calf length womens a-line kurta - black,Size:X-Small,2098.0,629,70% ,Indianwear-Women
Varanga,v- neck straight designer womens kurtas - mustard,"Size:Small,XX-Large",3499.0,1224,65% ,Indianwear-Women
Juniper,zari round neck rayon blend designer womens ethnic sets - black,"Size:Large,Medium,Small,X-Large",3699.0,1664,55% ,Indianwear-Women
Biba,yarndyed round neck cotton viscose womens kurta skirt set - yellow,"Size:32,36,38",0.0,7995,Nan,Indianwear-Women
Kashish,solid mandarian collar a-line fit womens kurta - mint,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,899,50% ,Indianwear-Women
Myshka,printed mandarin womens kurti - maroon,",Medium,Small,X-Large,XX-Large",5499.0,1374,75% ,Indianwear-Women
Infuse,printed cotton mandarin neck womens straight fit kurta - yellow,"Size:Medium,Small,X-Small,XX-Large,XXX-Large",799.0,399,50% ,Indianwear-Women
W,solid round neck viscose womens calf length kurta - maroon,"Size:6,8,10,12,14,16",1799.0,1349,25% ,Indianwear-Women
W,regular cotton woven designer womens pants - white,Size:6,1699.0,1019,40% ,Indianwear-Women
Ziyaa,solid mandarin polyester womens ethnic set - brown,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1734.0,780,55% ,Indianwear-Women
Kashish,embroidered mandarian collar straight fit womens kurta - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,899,50% ,Indianwear-Women
Biba,printed round neck a-line womens kurta - cream,"Size:34,36,42",2599.0,1299,50% ,Indianwear-Women
Indya,solid silk womens regular length pants - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1600.0,800,50% ,Indianwear-Women
Infuse,embroidered cotton womens full length palazzos - mustard,"Size:Large/X-Large,Small/Medium",1699.0,679,60% ,Indianwear-Women
Indya,embroidered georgette scoop neck womens regular kurta - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2200.0,1100,50% ,Indianwear-Women
Kashish,solid v neck straight fit womens kurta - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,999,50% ,Indianwear-Women
Varanga,printed round neck cotton womens straight kurta - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",2999.0,899,70% ,Indianwear-Women
Juniper,bandhni print georgette round neck high low womens tunic - mustard,Size:X-Small,1999.0,799,60% ,Indianwear-Women
Juniper,floral mandarin collar rayon womens flared dress - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3499.0,1574,55% ,Indianwear-Women
Vastranand,solid zari georgette festive wear womens regular saree - grey,Nan,4995.0,2497,50% ,Indianwear-Women
Global Desi,womens regular fit floral tunic - mustard,"Size:XL,Large,Medium,Small,XX-Large",1999.0,599,70% ,Indianwear-Women
Juniper,womens mint georgette placement printed tiered dress with tie-up dori & tassels - mint,"Size:Small,X-Small",3299.0,989,70% ,Indianwear-Women
Ziyaa,floral round neck polyester womens ethnic set - brown,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1701.0,765,55% ,Indianwear-Women
Janasya,printed silk festive wear womens saree with blouse piece - peacock,Nan,3619.0,1447,60% ,Indianwear-Women
Biba,printed v neck polyester womens kurta shrug - pink,"Size:32,34,36,38,40,42",2999.0,1799,40% ,Indianwear-Women
Varanga,solid v-neck cotton womens ethnic set - pink,"Size:Large,Medium,Small,X-Large",6999.0,2449,65% ,Indianwear-Women
Suti,printed cotton round neck womens a line kurti - green,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,1359,20% ,Indianwear-Women
Aurelia,mandarin straight designer womens kurtas - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399.0,979,30% ,Indianwear-Women
Kami Kubi,printed cotton round neck womens unstitched dress material - black,Nan,2799.0,1539,45% ,Indianwear-Women
W,printed viscose round neck womens kurta - pink,"Size:6,8,10,12,14,16,18",0.0,1799,Nan,Indianwear-Women
Stop,embroidered rayon round neck womens regular tunic - teal,"Size:XL,Large,Medium,Small,XX-Large",1299.0,649,50% ,Indianwear-Women
Haute Curry,printed lapel collar rayon womens a-line dress - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Varanga,v- neck silk blend designer womens ethnic set - black,"Size:Medium,Small,X-Large,XX-Large",4599.0,1379,70% ,Indianwear-Women
Juniper,womens powder pink cambric printed jacket style kurta with tie-up dori & tassels - pink,"Size:Large,Medium,Small,X-Large,X-Small",2599.0,1299,50% ,Indianwear-Women
Vastranand,geometric zari silk blend festive wear womens regular saree - pink,Nan,3199.0,1919,40% ,Indianwear-Women
Stop,yarn dyed mandarin collar a-line womens kurta - teal_green,"Size:S,M,XL,X-Small",999.0,499,50% ,Indianwear-Women
Varanga,printed cotton halter neck womens calf length kurta - maroon,"Size:Large,Medium,Small,X-Large,XX-Large",3299.0,824,75% ,Indianwear-Women
Juniper,printed rayon round neck womens a line dress - yellow,"Size:Large,X-Large",2299.0,1034,55% ,Indianwear-Women
Ziyaa,stripes round neck rayon womens ethnic set - green,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",3021.0,1208,60% ,Indianwear-Women
W,dyed cotton round neck womens calf length kurta - natural,"Size:6,8,10,12,14,16,18",0.0,2399,Nan,Indianwear-Women
Janasya,embroidered cotton flex mandarin neck womens a-line top - mustard,"Size:Small,X-Small",1699.0,764,55% ,Indianwear-Women
Biba,embroidered cotton flax round neck womens straight fit kurta - burnt orange,"Size:32,34,36,38",1599.0,1119,30% ,Indianwear-Women
Biba,printed v neck rayon flax womens kurta pants - multi,"Size:32,34,36,38,42",2599.0,2079,20% ,Indianwear-Women
Stop,embroidered round neck straight fit womens kurta - sage,"Size:S,M,L,X-Large,X-Small",799.0,399,50% ,Indianwear-Women
Stop,womens regular fit printed kurta - blue,"Size:S,M,X-Small",999.0,499,50% ,Indianwear-Women
Yuris,printed mandarin neck cotton womens kurta palazzo set - maroon,"Size:Large,Medium,Small,X-Large",2799.0,1119,60% ,Indianwear-Women
Yuris,sequins round neck cotton womens kurta palazzo set - navy,"Size:Large,Medium,Small,X-Large,XX-Large",3999.0,1399,65% ,Indianwear-Women
Juniper,printed boat neck rayon womens ethnic set - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2699.0,1484,45% ,Indianwear-Women
Varanga,embroidered silk blend round neck womens ethnic set - blue,Size:XX-Large,0.0,1799,Nan,Indianwear-Women
Juniper,womens pista green chanderi printed a-line kurta - pista green,"Size:Large,Medium,Small,X-Large,XX-Large",2599.0,1039,60% ,Indianwear-Women
Juniper,printed round neck rayon womens flared dress - green,"Size:Large,Medium,Small,X-Large,XX-Large",2499.0,1249,50% ,Indianwear-Women
Juniper,round neck rayon blend tiered designer women dresses - fuchsia,"Size:Medium,Small",3599.0,899,75% ,Indianwear-Women
Juniper,printed regular fit rayon womens fusion dhoti pants - maroon,Size:X-Small,1049.0,419,60% ,Indianwear-Women
Aurelia,yarn dyed cotton round neck womens ethnic set - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1999.0,1399,30% ,Indianwear-Women
Juniper,printed crepe round neck womens flared dress - cream,"Size:Large,Medium,Small,X-Large",2699.0,1349,50% ,Indianwear-Women
Kami Kubi,solid cotton round neck womens flared dress - maroon,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,874,65% ,Indianwear-Women
Get Wrapped,embroidered cotton regular length womens dupatta - purple,Nan,0.0,499,Nan,Indianwear-Women
Indya,embroidered georgette womens full length kurta - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,2950,Nan,Indianwear-Women
Neerus,printed cotton mandarin womens calf length kurta - black,Size:X-Large,2499.0,1249,50% ,Indianwear-Women
Biba,printed round neck cotton womens straight fit dress - wine,Size:34,2999.0,1799,40% ,Indianwear-Women
Amukti,floral viscose rayon mandarin collar womens straight kurta - black,"Size:4X-Large,Large,Medium,Small,X-Large,XX-Large,XXX-Large",1299.0,909,30% ,Indianwear-Women
Kami Kubi,floral silk blend v neck womens a line kurta - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3499.0,1924,45% ,Indianwear-Women
Myshka,solid rayon square neck womens kurta palazzo set - red,"Size:Large,Small,X-Large,XX-Large",3999.0,1199,70% ,Indianwear-Women
W,printed cambric round neck womens ethnic set - green,"Size:6,8,10,12,14,16,18",4999.0,3749,25% ,Indianwear-Women
Janasya,womens navy blue pure cotton narrow pant (btm021) - blue,"Size:Large,Medium,Small,X-Small,XX-Large,XXX-Large",1198.0,599,50% ,Indianwear-Women
Yuris,stripes mandarin a line fit womens top - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Biba,printed band collar a-line womens kurta - blue,"Size:34,36,38",2799.0,1399,50% ,Indianwear-Women
Global Desi,floral mandarin collar womens tunic - aqua,"Size:XL,Large,Medium,Small,X-Small",1799.0,899,50% ,Indianwear-Women
Varkala Silk Sarees,half n half katan silk traditional women banarasi saree - baby pink,Nan,7500.0,2625,65% ,Indianwear-Women
Yuris,floral cotton mandarin womens regular kurta - multi,"Size:Medium,Small",1499.0,599,60% ,Indianwear-Women
Biba,yarndyed round neck a-line womens kurta - red,"Size:32,34,36,38,40",1999.0,1199,40% ,Indianwear-Women
Global Desi,dyed cotton round neck womens knee length kurta - yellow,"Size:XL,Large,Medium,Small,X-Small,XX-Large",1899.0,1519,20% ,Indianwear-Women
Kami Kubi,mix and match cotton womens ethnic set - blue,"Size:Large,Medium,Small,X-Small,XX-Large",2999.0,1349,55% ,Indianwear-Women
Global Desi,floral mandarin collar womens top - pink,"Size:XL,Large,Medium,Small,X-Small",1799.0,899,50% ,Indianwear-Women
Janasya,poly chanderi womens kurta with pant and dupatta set - khaki,"Size:Small,X-Large,X-Small,XX-Large,XXX-Large",4998.0,2499,50% ,Indianwear-Women
Aurelia,printed man made fibre womens casual dupatta - grey,Nan,0.0,799,Nan,Indianwear-Women
Ziyaa,printed rayon mandarin womens a line kurta - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2229.0,780,65% ,Indianwear-Women
Ziyaa,floral round neck rayon womens ethnic set - red,"Size:Large,Medium,Small,X-Large,XX-Large",2333.0,933,60% ,Indianwear-Women
Aurelia,printed viscose poly mandarin womens straight kurta - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399.0,979,30% ,Indianwear-Women
De Moza,dyed regular fit rayon womens casual wear pants - dark grey,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,779,40% ,Indianwear-Women
Kami Kubi,solid rayon round neck womens calf length kurta - green,"Size:Large,Medium,Small,X-Large",2999.0,899,70% ,Indianwear-Women
Stop,womens rayon round neck a-line kurta - red,"Size:S,M,X-Small",999.0,499,50% ,Indianwear-Women
W,printed viscose round neck womens calf length kurta - yellow,"Size:6,8,10,12,14,16,18",0.0,1899,Nan,Indianwear-Women
Kashish,embroidered viscose blend round neck womens flared kurta - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2999.0,1499,50% ,Indianwear-Women
Global Desi,embroidered round neck cotton womens ethnic set - pink,"Size:XL,Large,Medium,Small,X-Small,XX-Large",3599.0,2159,40% ,Indianwear-Women
Stop,womens regular fit printed kurta - blue,"Size:S,M,L,X-Small,XX-Large",799.0,399,50% ,Indianwear-Women
Ziyaa,printed round neck rayon womens ethnic set - red,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2300.0,920,60% ,Indianwear-Women
Myshka,printed round neck womens tops - turquoise,",Medium,Small,X-Large,XX-Large",3999.0,1399,65% ,Indianwear-Women
Janasya,embroidered velvet festive wear womens stitched blouse - pink,"Size:Large,Medium,Small,X-Large,XX-Large",1798.0,719,60% ,Indianwear-Women
Juniper,womens maroon chanderi embellished jacket style 2 piece kurta with cambric lining - maroon,"Size:Large,Medium,Small,X-Large,XX-Large",3099.0,1549,50% ,Indianwear-Women
Juniper,womens black cambric placement print peplum crop-top with printed flared palazzo - black,"Size:Large,Medium,Small,X-Small",2999.0,1799,40% ,Indianwear-Women
Juniper,womens off white cotton solid straight pants with side pocket - off white,"Size:Medium,Small,X-Large,X-Small,XX-Large",1599.0,719,55% ,Indianwear-Women
Varkala Silk Sarees,kanjivaram katan silk traditional women kanjivaram saree - wine,Nan,4500.0,1350,70% ,Indianwear-Women
Haute Curry,printed short length casual wear flared top - peach,"Size:Large,Medium,Small,X-Small,XX-Large",699.0,349,50% ,Indianwear-Women
Juniper,printed cotton mandarin womens ethnic set - purple,Size:Small,2299.0,1034,55% ,Indianwear-Women
Indya,floral georgette scoop neck womens kurta - orange,"Size:Medium,Small,X-Small,XX-Large",3400.0,2720,20% ,Indianwear-Women
Global Desi,floral viscose round neck womens straight top - red,"Size:XL,Large,Medium,Small,X-Small,XX-Large",1699.0,1359,20% ,Indianwear-Women
Ziyaa,printed v-neck polyester womens ethnic set - red,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1913.0,860,55% ,Indianwear-Women
Varanga,wine zari and sequins work yoke straight kurta with 3/4th embroidered sleeves - purple,"Size:Large,Small,X-Large,XX-Large",2599.0,909,65% ,Indianwear-Women
Haute Curry,womens regular fit printed dress - red,"Size:Large,Medium,Small,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
Ziyaa,geometric round neck polyester womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2087.0,834,60% ,Indianwear-Women
Haute Curry,full length rayon woven womens pants - ecru,"Size:Large,Medium,Small,X-Large",999.0,499,50% ,Indianwear-Women
Stop,boat neck womens kurta - light orange,"Size:S,M,L,X-Large,X-Small,XX-Large",1199.0,479,60% ,Indianwear-Women
Indya,regular fit ankle length silk womens festive wear skirt - natural,"Size:Large,Medium,Small",2950.0,2360,20% ,Indianwear-Women
Aurelia,printed polyester womens festive palazzo - red,"Size:X-Large,XX-Large",0.0,799,Nan,Indianwear-Women
Varanga,embroidered cotton round neck womens regular fit kurta - peach,Size:Small,2799.0,839,70% ,Indianwear-Women
Fusion Beats,womens collared printed top - off white,"Size:Large,Medium,X-Large,XX-Large",1499.0,599,60% ,Indianwear-Women
Ziyaa,printed round neck rayon womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2030.0,812,60% ,Indianwear-Women
Infuse,woven poly silk dupatta - teal,Nan,999.0,399,60% ,Indianwear-Women
Kami Kubi,checks mandarin cotton womens flared dress - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,809,55% ,Indianwear-Women
Global Desi,floral cotton round neck womens straight tunic - pink,"Size:XL,Large,Medium,Small,X-Small,XX-Large",2299.0,1839,20% ,Indianwear-Women
Infuse,printed viscose twill womens casual pants - blue,"Size:Large,Medium,Small,X-Large",999.0,399,60% ,Indianwear-Women
Juniper,printed georgette halter neck womens tiered dress - off white,"Size:Large,Small",0.0,2299,Nan,Indianwear-Women
Indya,floral viscose collar neck womens kurta - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2500.0,1250,50% ,Indianwear-Women
Ziyaa,printed crepe mandarin womens straight kurta - grey,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1107.0,553,50% ,Indianwear-Women
Myshka,printed cotton round neck womens kurta palazzo set - yellow,"Size:Medium,Small,X-Large",4999.0,1249,75% ,Indianwear-Women
Neerus,embroidered cotton blend round neck womens straight kurta - mustard,Size:Medium,1980.0,990,50% ,Indianwear-Women
Ziyaa,printed round neck polyester womens ethnic set - blue,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2406.0,842,65% ,Indianwear-Women
Global Desi,solid viscose round neck womens straight tunic - white,"Size:XL,Large,Medium,Small,X-Small,XX-Large",0.0,2699,Nan,Indianwear-Women
Juniper,printed rayon mandarin womens a-line kurta - olive,"Size:4X-Large,5X-Large,X-Large,XXX-Large",2199.0,659,70% ,Indianwear-Women
Ziyaa,printed polyester mandarin womens a line kurta - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2000.0,800,60% ,Indianwear-Women
Stop,printed mandarin collar straight fit womens kurta - blue,"Size:S,M,XL,X-Small,XXX-Large",799.0,399,50% ,Indianwear-Women
Stop,womens printed calf length casual wear kurta - indigo,"Size:S,X-Small",1299.0,649,50% ,Indianwear-Women
Global Desi,womens bodycon geometric casual wear tunic - dark blue,"Size:XL,Medium,Small",1899.0,759,60% ,Indianwear-Women
Global Desi,womens geometric bodycon top - gold,"Size:Medium,Small",1499.0,599,60% ,Indianwear-Women
Suti,embroidered cotton round neck womens straight kurti - apple green,"Size:Large,Medium,Small,X-Large,XX-Large",3999.0,3199,20% ,Indianwear-Women
Aurelia,printed polyester round neck womens ethnic set - green,"Size:Large,Medium,Small,X-Large",0.0,4999,Nan,Indianwear-Women
Juniper,embroidered cotton mandarin womens flared kurta - white,"Size:Large,Medium,Small,X-Large",2699.0,1349,50% ,Indianwear-Women
Haute Curry,peter pan collar rayon flex regular womens dress - sage,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,1499,Nan,Indianwear-Women
Ziyaa,printed crepe round neck womens straight kurta - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1641.0,656,60% ,Indianwear-Women
Aurelia,yarn dyed cotton round neck womens straight kurta - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1199.0,839,30% ,Indianwear-Women
Stop,solid mandarin collar a line fit womens kurta - purple,"Size:S,M,L,X-Large,X-Small,XX-Large",1499.0,749,50% ,Indianwear-Women
